video_game,price,kind,link,devoloper,platform,type
Minecraft,"80,99 €",Platformer,https://sandbox.oxylabs.io/products/50, Mojang AB,N/A,multiplayer
Persona 4 Golden,"86,99 €",3D,https://sandbox.oxylabs.io/products/51, Atlus,N/A,multiplayer
Persona 5,"87,99 €",Action,https://sandbox.oxylabs.io/products/52, Atlus,N/A,singleplayer
Quake III Arena,"83,99 €",Fighting,https://sandbox.oxylabs.io/products/53, Raster,N/A,
Homeworld,"88,99 €",3D,https://sandbox.oxylabs.io/products/54, Relic,N/A,multiplayer
Gears of War 2,"79,99 €",2D,https://sandbox.oxylabs.io/products/55, Epic Games,N/A,multiplayer
World Soccer Winning Eleven 6 International,"84,99 €",Strategy,https://sandbox.oxylabs.io/products/56, KCET,N/A,multiplayer
Skies of Arcadia,"88,99 €",Real-Time,https://sandbox.oxylabs.io/products/57, Overworks,N/A,
The Legend of Zelda: Skyward Sword,"81,99 €",Historic,https://sandbox.oxylabs.io/products/58, Nintendo,N/A,singleplayer
Mario Kart Super Circuit,"78,99 €",General,https://sandbox.oxylabs.io/products/59, Intelligent Systems,N/A,multiplayer
Test Drive Le Mans,"83,99 €",Driving,https://sandbox.oxylabs.io/products/60, Melbourne House,N/A,
NBA 2K1,"72,99 €",Racing,https://sandbox.oxylabs.io/products/61, Visual Concepts,N/A,
Virtua Fighter 4: Evolution,"87,99 €",GT / Street,https://sandbox.oxylabs.io/products/62, Sega,N/A,multiplayer
Uncharted 4: A Thief's End,"88,99 €",General,https://sandbox.oxylabs.io/products/63, Naughty Dog,N/A,multiplayer
Super Smash Bros. Ultimate,"86,99 €",Action Adventure,https://sandbox.oxylabs.io/products/64, Nintendo,N/A,multiplayer
Paper Mario,"90,99 €",Role-Playing,https://sandbox.oxylabs.io/products/65, Intelligent Systems,N/A,
Wipeout XL,"86,99 €",Console-style RPG,https://sandbox.oxylabs.io/products/66, Psygnosis,N/A,multiplayer
World of Warcraft,"74,99 €",Driving,https://sandbox.oxylabs.io/products/67, Blizzard Entertainment,N/A,multiplayer
Flipnote Studio,"75,99 €",Racing,https://sandbox.oxylabs.io/products/68, Nintendo,N/A,
God of War III,"88,99 €",Futuristic,https://sandbox.oxylabs.io/products/69, SCE Santa Monica,N/A,singleplayer
NHL 2002,"83,99 €",Role-Playing,https://sandbox.oxylabs.io/products/70, EA Sports,N/A,multiplayer
Uncharted 3: Drake's Deception,"84,99 €",Massively Multiplayer Online,https://sandbox.oxylabs.io/products/71, Naughty Dog,N/A,multiplayer
Bloodborne,"88,99 €",Massively Multiplayer,https://sandbox.oxylabs.io/products/72, From Software,N/A,multiplayer
Eternal Darkness: Sanity's Requiem,"87,99 €",Fantasy,https://sandbox.oxylabs.io/products/73, Silicon Knights,N/A,singleplayer
Warcraft III: Reign of Chaos,"92,99 €",Miscellaneous,https://sandbox.oxylabs.io/products/74, Blizzard Entertainment,N/A,
Sid Meier's Gettysburg!,"74,99 €",General,https://sandbox.oxylabs.io/products/75, Firaxis Games,N/A,multiplayer
Forza Motorsport,"76,99 €",Application,https://sandbox.oxylabs.io/products/76, Microsoft Game Studios,N/A,multiplayer
Advance Wars,"89,99 €",Action Adventure,https://sandbox.oxylabs.io/products/77, Intelligent Systems,N/A,multiplayer
Vagrant Story,"90,99 €",Fantasy,https://sandbox.oxylabs.io/products/78, SquareSoft,N/A,singleplayer
Team Fortress 2,"90,99 €",Linear,https://sandbox.oxylabs.io/products/79, Valve Software,N/A,multiplayer
System Shock 2,"91,99 €",Sports,https://sandbox.oxylabs.io/products/80, Looking Glass Studios,N/A,singleplayer
Final Fantasy XII,"76,99 €",Traditional,https://sandbox.oxylabs.io/products/81, Square Enix,N/A,singleplayer
Super Mario World: Super Mario Advance 2,"90,99 €",Ice Hockey,https://sandbox.oxylabs.io/products/82, Nintendo,N/A,
Super Smash Bros. Melee,"91,99 €",Sim,https://sandbox.oxylabs.io/products/83, HAL Labs,N/A,multiplayer
Rome: Total War,"90,99 €",Action Adventure,https://sandbox.oxylabs.io/products/84, Creative Assembly,N/A,singleplayer
Forza Motorsport 3,"81,99 €",Modern,https://sandbox.oxylabs.io/products/85, Turn 10,N/A,multiplayer
Super Mario Sunshine,"84,99 €",Linear,https://sandbox.oxylabs.io/products/86, Nintendo,N/A,singleplayer
Tony Hawk's Pro Skater,"88,99 €",Fantasy,https://sandbox.oxylabs.io/products/87, Neversoft Entertainment,N/A,multiplayer
Thief: The Dark Project,"90,99 €",Role-Playing,https://sandbox.oxylabs.io/products/88, Looking Glass Studios,N/A,singleplayer
Fire Emblem: Awakening,"90,99 €",Action Adventure,https://sandbox.oxylabs.io/products/89, Intelligent Systems,N/A,singleplayer
Age of Empires II: The Age of Kings,"91,99 €",General,https://sandbox.oxylabs.io/products/90, Ensemble Studios,N/A,multiplayer
Final Fantasy X,"89,99 €",Action RPG,https://sandbox.oxylabs.io/products/91, SquareSoft,N/A,singleplayer
Unreal Tournament (1999),"90,99 €",Action Adventure,https://sandbox.oxylabs.io/products/92, Epic Games,N/A,multiplayer
Sid Meier's Alpha Centauri,"88,99 €",Horror,https://sandbox.oxylabs.io/products/93, Firaxis Games,N/A,
Wave Race 64,"83,99 €",Strategy,https://sandbox.oxylabs.io/products/94, Nintendo,N/A,multiplayer
Galactic Civilizations II: Twilight of the Arnor,"82,99 €",Real-Time,https://sandbox.oxylabs.io/products/95, Stardock,N/A,singleplayer
Super Smash Bros. for Wii U,"89,99 €",Fantasy,https://sandbox.oxylabs.io/products/96, Bandai Namco Games,N/A,multiplayer
Chrono Trigger,"91,99 €",Role-Playing,https://sandbox.oxylabs.io/products/97, TOSE,N/A,singleplayer
Xenoblade Chronicles,"91,99 €",Console-style RPG,https://sandbox.oxylabs.io/products/98, Monolith Soft,N/A,singleplayer
Conker's Bad Fur Day,"89,99 €",Japanese-Style,https://sandbox.oxylabs.io/products/99, Rare Ltd.,N/A,
Mario Kart 8 Deluxe,"86,99 €",Role-Playing,https://sandbox.oxylabs.io/products/100, Nintendo,N/A,multiplayer
The ICO & Shadow of the Colossus Collection,"87,99 €",Action RPG,https://sandbox.oxylabs.io/products/101, Bluepoint Games,N/A,singleplayer
Metroid Prime 2: Echoes,"89,99 €",Console-style RPG,https://sandbox.oxylabs.io/products/102, Retro Studios,N/A,multiplayer
Out of the Park Baseball 17,"33,99 €",Action,https://sandbox.oxylabs.io/products/103, Out Of The Park Developments,N/A,
Metroid Fusion,"91,99 €",Platformer,https://sandbox.oxylabs.io/products/104, Nintendo,N/A,singleplayer
Final Fantasy VI Advance,"87,99 €",3D,https://sandbox.oxylabs.io/products/105, TOSE,N/A,multiplayer
Dishonored,"85,99 €",Other,https://sandbox.oxylabs.io/products/106, Arkane Studios,N/A,singleplayer
Medal of Honor: Allied Assault,"85,99 €",Racing,https://sandbox.oxylabs.io/products/107, 2015,N/A,
Myth: The Fallen Lords,"85,99 €",Arcade,https://sandbox.oxylabs.io/products/108, Bungie Software,N/A,multiplayer
LittleBigPlanet 2,"86,99 €",Automobile,https://sandbox.oxylabs.io/products/109, Media Molecule,N/A,multiplayer
Psychonauts 2,"55,99 €",Miscellaneous,https://sandbox.oxylabs.io/products/110, Double Fine Productions,N/A,
Guitar Hero,"86,99 €",Action Adventure,https://sandbox.oxylabs.io/products/111, Harmonix Music Systems,N/A,multiplayer
World of Warcraft: Wrath of the Lich King,"79,99 €",Fantasy,https://sandbox.oxylabs.io/products/112, Blizzard Entertainment,N/A,multiplayer
Metroid Prime Trilogy,"90,99 €",Compilation,https://sandbox.oxylabs.io/products/113, Retro Studios,N/A,singleplayer
F1 Challenge '99-'02,"76,99 €",Action,https://sandbox.oxylabs.io/products/114, Electronic Arts,N/A,multiplayer
Baldur's Gate,"89,99 €",Shooter,https://sandbox.oxylabs.io/products/115, BioWare,N/A,multiplayer
Klonoa 2: Lunatea's Veil,"86,99 €",First-Person,https://sandbox.oxylabs.io/products/116, Namco,N/A,singleplayer
IL-2 Sturmovik,"87,99 €",Sci-Fi,https://sandbox.oxylabs.io/products/117, 1C,N/A,multiplayer
Mario Tennis,"88,99 €",Sports,https://sandbox.oxylabs.io/products/118, Camelot Software Planning,N/A,
FreeSpace 2,"87,99 €",Baseball,https://sandbox.oxylabs.io/products/119, Volition Inc.,N/A,multiplayer
Colony Wars,"83,99 €",Sim,https://sandbox.oxylabs.io/products/120, Psygnosis,N/A,singleplayer
Ratchet & Clank: Up Your Arsenal,"91,99 €",Team,https://sandbox.oxylabs.io/products/121, Insomniac Games,N/A,multiplayer
Resident Evil (2002),"92,99 €",Action Adventure,https://sandbox.oxylabs.io/products/122, Capcom,N/A,singleplayer
Metal Gear Solid 3: Snake Eater,"92,99 €",Sci-Fi,https://sandbox.oxylabs.io/products/123, KCEJ,N/A,singleplayer
Twisted Metal: Black,"84,99 €",Role-Playing,https://sandbox.oxylabs.io/products/124, Incognito Inc.,N/A,multiplayer
Spyro: Year of the Dragon,"89,99 €",Console-style RPG,https://sandbox.oxylabs.io/products/125, Insomniac Games,N/A,singleplayer
Tomb Raider,"84,99 €",Action Adventure,https://sandbox.oxylabs.io/products/126, Core Design Ltd.,N/A,singleplayer
Factorio,"91,99 €",Modern,https://sandbox.oxylabs.io/products/127, Wube Software LTD.,N/A,multiplayer
Resident Evil 4: Wii Edition,"89,99 €",General,https://sandbox.oxylabs.io/products/128, Capcom,N/A,singleplayer
Peggle,"73,99 €",Miscellaneous,https://sandbox.oxylabs.io/products/129, PopCap,N/A,
The Legend of Zelda: Ocarina of Time / Master Quest,"89,99 €",Puzzle,https://sandbox.oxylabs.io/products/130, Nintendo,N/A,singleplayer
Sonic Mania Plus,"81,99 €",Action,https://sandbox.oxylabs.io/products/131, Sega,N/A,multiplayer
Kentucky Route Zero - Act III,"66,99 €",Action Adventure,https://sandbox.oxylabs.io/products/132, Cardboard Computer,N/A,
Crysis,"81,99 €",Fantasy,https://sandbox.oxylabs.io/products/133, Crytek,N/A,singleplayer
Ninja Gaiden,"88,99 €",Action,https://sandbox.oxylabs.io/products/134, Team Ninja,N/A,singleplayer
God of War: Chains of Olympus,"86,99 €",Platformer,https://sandbox.oxylabs.io/products/135, Ready at Dawn,N/A,singleplayer
DOA2: Hardcore,"81,99 €",2D,https://sandbox.oxylabs.io/products/136, Team Ninja,N/A,multiplayer
World of Warcraft: The Burning Crusade,"65,99 €",Adventure,https://sandbox.oxylabs.io/products/137, Blizzard Entertainment,N/A,multiplayer
Yoshi's Island: Super Mario Advance 3,"89,99 €",General,https://sandbox.oxylabs.io/products/138, Nintendo,N/A,multiplayer
The Longest Journey,"87,99 €",Action,https://sandbox.oxylabs.io/products/139, Funcom,N/A,singleplayer
Star Wars Jedi Knight: Dark Forces II,"86,99 €",Shooter,https://sandbox.oxylabs.io/products/140, LucasArts,N/A,multiplayer
Halo: Reach,"84,99 €",First-Person,https://sandbox.oxylabs.io/products/141, Bungie,N/A,multiplayer
Galactic Civilizations II: Dark Avatar,"78,99 €",Sci-Fi,https://sandbox.oxylabs.io/products/142, Stardock,N/A,singleplayer
Mass Effect,"87,99 €",Arcade,https://sandbox.oxylabs.io/products/143, BioWare,N/A,singleplayer
Crusader Kings III,"84,99 €",Action Adventure,https://sandbox.oxylabs.io/products/144, Paradox Interactive,N/A,multiplayer
Forza Motorsport 4,"83,99 €",Fantasy,https://sandbox.oxylabs.io/products/145, Turn 10,N/A,multiplayer
Battlefield 2,"84,99 €",Action Adventure,https://sandbox.oxylabs.io/products/146, Digital Illusions,N/A,multiplayer
Planescape: Torment,"92,99 €",Fantasy,https://sandbox.oxylabs.io/products/147, Black Isle Studios,N/A,singleplayer
Gears of War 3,"81,99 €",Linear,https://sandbox.oxylabs.io/products/148, Epic Games,N/A,multiplayer
Killzone 2,"81,99 €",Action,https://sandbox.oxylabs.io/products/149, Guerrilla,N/A,multiplayer
Neverwinter Nights,"82,99 €",Fighting,https://sandbox.oxylabs.io/products/150, BioWare,N/A,multiplayer
Castlevania: Aria of Sorrow,"89,99 €",3D,https://sandbox.oxylabs.io/products/151, KCET,N/A,multiplayer
No One Lives Forever 2: A Spy in H.A.R.M.'s Way,"86,99 €",Role-Playing,https://sandbox.oxylabs.io/products/152, Monolith Productions,N/A,
Legacy of Kain: Soul Reaver,"90,99 €",Massively Multiplayer Online,https://sandbox.oxylabs.io/products/153, Crystal Dynamics,N/A,singleplayer
Dragon Age: Origins,"88,99 €",Massively Multiplayer,https://sandbox.oxylabs.io/products/154, BioWare,N/A,singleplayer
Golden Sun,"90,99 €",Fantasy,https://sandbox.oxylabs.io/products/155, Camelot Software Planning,N/A,multiplayer
Disco Elysium,"84,99 €",Action,https://sandbox.oxylabs.io/products/156, ZA/UM,N/A,singleplayer
SteamWorld Heist: Ultimate Edition,"83,99 €",Platformer,https://sandbox.oxylabs.io/products/157, Image & Form,N/A,singleplayer
The Legend of Zelda: A Link Between Worlds,"90,99 €",2D,https://sandbox.oxylabs.io/products/158, Nintendo,N/A,singleplayer
NieR: Automata - Game of the YoRHa Edition,"87,99 €",Adventure,https://sandbox.oxylabs.io/products/159, PlatinumGames,N/A,singleplayer
Castlevania: Circle of the Moon,"83,99 €",Third-Person,https://sandbox.oxylabs.io/products/160, KCEK,N/A,singleplayer
Shovel Knight: Treasure Trove,"82,99 €",Action,https://sandbox.oxylabs.io/products/161, Yacht Club Games,N/A,singleplayer
flower,"73,99 €",Platformer,https://sandbox.oxylabs.io/products/162, Bluepoint Games,N/A,singleplayer
Mario Kart DS,"87,99 €",2D,https://sandbox.oxylabs.io/products/163, Nintendo,N/A,singleplayer
Call of Duty,"84,99 €",General,https://sandbox.oxylabs.io/products/164, Infinity Ward,N/A,multiplayer
Mario Golf,"80,99 €",Miscellaneous,https://sandbox.oxylabs.io/products/165, Camelot Software Planning,N/A,multiplayer
Crash Bandicoot 3: Warped,"90,99 €",Driving,https://sandbox.oxylabs.io/products/166, Naughty Dog,N/A,singleplayer
Project Gotham Racing 2,"87,99 €",Racing,https://sandbox.oxylabs.io/products/167, Bizarre Creations,N/A,multiplayer
Animal Crossing: New Horizons,"55,99 €",Arcade,https://sandbox.oxylabs.io/products/168, Nintendo,N/A,multiplayer
World of Warcraft: Cataclysm,"58,99 €",Kart,https://sandbox.oxylabs.io/products/169, Blizzard Entertainment,N/A,multiplayer
Rayman 2: The Great Escape,"88,99 €",Automobile,https://sandbox.oxylabs.io/products/170, Ubisoft Montpellier,N/A,singleplayer
Diablo III: Ultimate Evil Edition,"79,99 €",Action,https://sandbox.oxylabs.io/products/171, Blizzard Entertainment,N/A,multiplayer
ICO,"88,99 €",Shooter,https://sandbox.oxylabs.io/products/172, SCE Japan Studio,N/A,singleplayer
Mario & Luigi: Superstar Saga,"89,99 €",First-Person,https://sandbox.oxylabs.io/products/173, Alphadream Corporation,N/A,multiplayer
Ape Escape,"84,99 €",Third-Person,https://sandbox.oxylabs.io/products/174, SCEI,N/A,singleplayer
Syphon Filter,"88,99 €",Historic,https://sandbox.oxylabs.io/products/175, Eidetic,N/A,singleplayer
Mario & Luigi: Bowser's Inside Story,"88,99 €",Tactical,https://sandbox.oxylabs.io/products/176, Alphadream Corporation,N/A,singleplayer
Trials Evolution,"80,99 €",Arcade,https://sandbox.oxylabs.io/products/177, Ubisoft,N/A,
Grand Theft Auto IV: The Lost and Damned,"80,99 €",Sports,https://sandbox.oxylabs.io/products/178, Rockstar North,N/A,
Ratchet & Clank: Going Commando,"89,99 €",Traditional,https://sandbox.oxylabs.io/products/179, Insomniac Games,N/A,singleplayer
NBA Street Vol. 2,"87,99 €",Golf,https://sandbox.oxylabs.io/products/180, Electronic Arts,N/A,multiplayer
Tennis 2K2,"79,99 €",Arcade,https://sandbox.oxylabs.io/products/181, Hitmaker,N/A,
Black & White,"77,99 €",Action,https://sandbox.oxylabs.io/products/182, Lionhead Studios,N/A,
The Legend of Zelda: The Wind Waker HD,"90,99 €",Platformer,https://sandbox.oxylabs.io/products/183, Nintendo,N/A,singleplayer
Portal,"92,99 €",3D,https://sandbox.oxylabs.io/products/184, Valve Software,N/A,singleplayer
Tetris Effect,"66,99 €",Driving,https://sandbox.oxylabs.io/products/185, Enhance Games,N/A,singleplayer
The Legend of Zelda: Phantom Hourglass,"80,99 €",Racing,https://sandbox.oxylabs.io/products/186, Nintendo,N/A,multiplayer
Dance Dance Revolution,"84,99 €",GT / Street,https://sandbox.oxylabs.io/products/187, Konami,N/A,multiplayer
Advance Wars: Dual Strike,"88,99 €",Simulation,https://sandbox.oxylabs.io/products/188, Intelligent Systems,N/A,singleplayer
NieR: Automata - Become as Gods Edition,"90,99 €",Virtual,https://sandbox.oxylabs.io/products/189, PlatinumGames,N/A,singleplayer
Jak and Daxter: The Precursor Legacy,"88,99 €",Virtual Life,https://sandbox.oxylabs.io/products/190, Naughty Dog,N/A,singleplayer
Star Wars Rogue Leader: Rogue Squadron II,"86,99 €",Role-Playing,https://sandbox.oxylabs.io/products/191, Factor 5,N/A,singleplayer
Stephen's Sausage Roll,"55,99 €",Massively Multiplayer Online,https://sandbox.oxylabs.io/products/192, increpare,N/A,singleplayer
NCAA Football 2002,"84,99 €",Sports,https://sandbox.oxylabs.io/products/193, EA Sports,N/A,multiplayer
Deus Ex,"92,99 €",Traditional,https://sandbox.oxylabs.io/products/194, Ion Storm,N/A,multiplayer
Donkey Kong 64,"86,99 €",Football,https://sandbox.oxylabs.io/products/195, Rare Ltd.,N/A,multiplayer
Panzer Dragoon Orta,"84,99 €",Sim,https://sandbox.oxylabs.io/products/196, Smilebit,N/A,singleplayer
Portal: Still Alive,"86,99 €",Action Adventure,https://sandbox.oxylabs.io/products/197, Valve Software,N/A,singleplayer
Half-Life 2: Episode Two,"92,99 €",Sci-Fi,https://sandbox.oxylabs.io/products/198, Valve Software,N/A,singleplayer
The Chronicles of Riddick: Escape From Butcher Bay - Developer's Cut,"86,99 €",General,https://sandbox.oxylabs.io/products/199, Starbreeze,N/A,singleplayer
Shin Megami Tensei: Persona 4,"77,99 €",Action,https://sandbox.oxylabs.io/products/200, Atlus Co.,N/A,singleplayer
Hollow Knight,"90,99 €",Platformer,https://sandbox.oxylabs.io/products/201, Team Cherry,N/A,singleplayer
Blast Corps,"83,99 €",3D,https://sandbox.oxylabs.io/products/202, Rare Ltd.,N/A,singleplayer
Sid Meier's Civilization III,"84,99 €",Action,https://sandbox.oxylabs.io/products/203, Firaxis Games,N/A,singleplayer
NFL 2K2,"71,99 €",Shooter,https://sandbox.oxylabs.io/products/204, Visual Concepts,N/A,
WWF SmackDown! 2: Know Your Role,"84,99 €",Rail,https://sandbox.oxylabs.io/products/205, Yuke's,N/A,multiplayer
Silent Hunter III,"78,99 €",Action,https://sandbox.oxylabs.io/products/206, Ubisoft,N/A,multiplayer
Dead Space 2,"86,99 €",Shooter,https://sandbox.oxylabs.io/products/207, Visceral Games,N/A,multiplayer
Pikmin 2,"90,99 €",First-Person,https://sandbox.oxylabs.io/products/208, Nintendo,N/A,multiplayer
Geometry Wars: Retro Evolved 2,"83,99 €",Sci-Fi,https://sandbox.oxylabs.io/products/209, Bizarre Creations,N/A,multiplayer
Sid Meier's Civilization V,"80,99 €",Arcade,https://sandbox.oxylabs.io/products/210, Firaxis Games,N/A,multiplayer
Super Mario 3D Land,"84,99 €",Action,https://sandbox.oxylabs.io/products/211, Nintendo,N/A,singleplayer
Mario Kart 8 DLC Pack 2,"89,99 €",Shooter,https://sandbox.oxylabs.io/products/212, Nintendo,N/A,
Falcon 4.0: Allied Force,"77,99 €",First-Person,https://sandbox.oxylabs.io/products/213, Lead Pursuit,N/A,multiplayer
Deus Ex: Human Revolution,"85,99 €",Sci-Fi,https://sandbox.oxylabs.io/products/214, Nixxes Software,N/A,singleplayer
Metroid Prime 3: Corruption,"88,99 €",Arcade,https://sandbox.oxylabs.io/products/215, Retro Studios,N/A,singleplayer
Flight Simulator 2002,"73,99 €",Action,https://sandbox.oxylabs.io/products/216, Microsoft Game Studios,N/A,
Banjo-Tooie,"88,99 €",Shooter,https://sandbox.oxylabs.io/products/217, Rare Ltd.,N/A,
Uncharted: Drake's Fortune,"79,99 €",First-Person,https://sandbox.oxylabs.io/products/218, Naughty Dog,N/A,singleplayer
Warcraft III: The Frozen Throne,"92,99 €",Sci-Fi,https://sandbox.oxylabs.io/products/219, Blizzard Entertainment,N/A,multiplayer
Tactics Ogre: The Knight of Lodis,"88,99 €",Arcade,https://sandbox.oxylabs.io/products/220, Quest,N/A,multiplayer
Starcraft,"91,99 €",Role-Playing,https://sandbox.oxylabs.io/products/221, Blizzard Entertainment,N/A,multiplayer
The Last of Us: Left Behind,"47,99 €",Console-style RPG,https://sandbox.oxylabs.io/products/222, Naughty Dog,N/A,multiplayer
Star Wars Pinball: Balance of the Force,"61,99 €",Action Adventure,https://sandbox.oxylabs.io/products/223, Zen Studios,N/A,singleplayer
The Secret of Monkey Island: Special Edition,"84,99 €",General,https://sandbox.oxylabs.io/products/224, LucasArts,N/A,singleplayer
Project Gotham Racing 3,"79,99 €",Driving,https://sandbox.oxylabs.io/products/225, Bizarre Creations,N/A,multiplayer
The World Ends with You,"87,99 €",Racing,https://sandbox.oxylabs.io/products/226, Jupiter Corporation,N/A,singleplayer
Dishonored 2,"80,99 €",Simulation,https://sandbox.oxylabs.io/products/227, Arkane Studios,N/A,singleplayer
Injustice 2: Legendary Edition,"77,99 €",GT / Street,https://sandbox.oxylabs.io/products/228, NetherRealm Studios,N/A,multiplayer
Divinity: Original Sin Enhanced Edition,"80,99 €",Automobile,https://sandbox.oxylabs.io/products/229, Larian Studios Games,N/A,multiplayer
Minecraft: Xbox One Edition,"73,99 €",Role-Playing,https://sandbox.oxylabs.io/products/230, 4J Studios,N/A,multiplayer
JSRF: Jet Set Radio Future,"83,99 €",Action RPG,https://sandbox.oxylabs.io/products/231, Smilebit,N/A,multiplayer
